TRIP_ID,VEHICLE_ID
a480d62d-f0a0-59f2-9c63-166c5b7d4f6e,218-367
a426f899-6c67-5cc7-b81e-31c1ac9f5668,479-036
8fd208ca-ae5d-5d90-8155-1d23f458978d,354-400
6bef12d2-3888-57d0-9bf7-394df015d014,810-126
78beecff-f295-5c85-a051-9b92783dc2c0,810-126
f357e0df-499f-523e-a699-4d929fa7e745,636-520
ae57c2e7-7666-5b88-8a94-c88eeb5ea090,218-367
1e1b8bfd-4d6a-5201-978c-bcb07388abe0,726-682
10e65298-fe8a-5a66-8664-87be2c4f2222,270-513
72cf1e26-d17c-5736-b38d-218e2cdf8f88,982-920
2459d857-fef7-5145-8cd7-0b9c4930106f,094-773
12dfef05-4cda-5836-8149-f09d369ec415,806-762
eb4e32a1-2d2e-5172-9cec-f182695237e2,654-417
03ea6995-f389-549d-b879-1e2b1f2836e4,778-967
a9d5caa3-37d3-53ab-bf95-4821b4900b09,494-776
05a28bb9-90ca-52a0-a6d0-e9fd54b417b2,109-319
4bd0cdf9-8a97-55d7-9734-bea1627d46fa,730-550
2ac00c7d-8345-53f5-98eb-38fd3dde7acf,623-606
f2248fb3-bfde-5540-990f-b8aa9029b9d0,109-319
dad99f12-386e-5d0b-b607-76b0b92372b3,989-218
a23cebd1-1731-50fa-8743-6db83230e8b9,387-941
f027a20a-0037-5b2b-b146-22d4466ee4ec,641-429
7e8cb9d7-3579-5d1f-8fb5-d5d086ebc05a,109-319
9b7cabd1-1d04-5ef4-8d54-c946f3ff1c32,864-057
cc917eb4-1dd5-50d7-8943-86a84d55a04c,778-967
ac0ebbc0-08eb-5acc-a9fc-6fe9e210f736,898-820
85c03c25-d2b4-5eec-a75b-e785dceadc31,109-319
ec56e2fd-59f5-511e-bbac-d04b62423096,579-009
0bfd1592-7336-520f-821b-4998c7215803,494-776
8eb1c563-957a-5630-8369-101cd8202707,989-218
6de602e2-b7d5-552b-8912-f96113e72481,271-186
5e39bdc0-5f0c-5c23-81e2-2be79b2471e2,778-967
77fab041-50d3-57bd-bad0-cd78c8c62eaa,422-616
e0c08565-1184-5e73-91e7-3d750ecc87a6,052-368
7f7ce422-9985-5e4c-afbc-5b25ac45c28e,109-319
0fe4f9b1-16dc-569b-bb3a-cc866a9f3baa,989-218
6122d0c2-2119-5365-aedb-0400d33a10fb,345-239
d3087f81-f73c-550c-8142-103d9a27d390,680-801
5b58e079-6a8b-5561-a824-37a59fc05bf7,109-319
78579ce1-1861-55ff-b164-6774763ff28c,636-520
6380007d-66c1-554d-9a6a-635469dc4477,898-820
c3586c99-9f8e-50fb-913a-dbe4e39b11ce,098-628
236f2c5d-cc0c-5566-95a2-54ce5dbc6f65,422-616
6c0eab49-effc-5299-b83a-812192a05c14,898-820
4aa34b44-823f-5ee8-9e8b-84a4c5f1f75d,352-390
36776b50-c11a-5ae8-89a1-c695cb7a9231,345-239
7c917ad9-7c14-5f3d-bec5-ad22fa62ba9b,806-762
d1fcaa51-3cb6-5d67-9565-9ef80038f41a,109-319
35557feb-1e87-56ce-95e9-644f19cc7bf5,989-678
1a936055-506b-5bb2-9395-3d688e358bc1,397-304
b4fc9605-cbe8-50ee-8e1f-b7bb09b145b3,352-484
d488ca60-15ee-5631-989d-223ff72cfe0e,641-429
cccd07db-f76a-5da3-ae08-ce399b5859aa,109-319
