TRIP_ID,VEHICLE_ID
1677875f-6800-46f7-9938-d2ceb8f50b04,D11435
a307fc28-311f-4a17-af44-0acf6f7f06d4,D16042
7c19dbe4-85a6-4ba1-80d4-150898d873d8,D14237
0322df0d-4531-405c-8a99-be9034ad2b6c,D18810
5ae9a864-8828-4bad-a486-b48ad9ddcb38,D16008
84d2fcf5-f84e-4181-bb0f-568408a2e1ec,D12917
e4144137-5678-45ba-9c11-39d1c04e51f4,D14300
a9e8c823-b46e-4c74-baf1-4d16e6ee5a2c,D03312
2fa2da3e-ad9a-4265-b8c3-7e3b74a48f78,D02203
09dec832-5f49-4ab0-9567-2e662f6b99e8,D00552
f6a3ce83-bebc-4d79-bab7-aaa9e1f03080,D18558
d65b9dec-6864-4e60-8f99-0bcacf1c5a48,D16293
e8cddda9-b84f-49c0-884d-fd28408dfce8,D18438
b339883c-8ef2-4dc7-b68f-69293c06e958,9EG30B
05a908db-db0e-4eaa-aa10-7ac06128d840,D00462
8300a001-5bad-4534-bdde-a3d884d1a130,D11332
9c79bbbd-76ea-4f56-b1b7-304e6469a2d0,CT1CMN
4925c664-db55-4bb3-868c-b41de7535288,96TA
b9608bf3-3ac2-4162-b413-0caa37add8e0,D02067
a180f674-b12d-4d3a-b3f6-eaf3d4bc3560,D00713
64ca78e3-0a61-433c-99db-427b4e5d334c,D11435
9dfe2d79-89da-485d-8dcf-42db39cbb744,D03903
84ede1a6-2076-4898-9abc-347d6aaa5db0,D16541
ed07555a-d8f8-4d66-a7d2-58a96e52093c,D16047
02788a52-a12d-4d9c-a3b1-d5c1df22a024,D00290
1d82b3be-0a1b-44d2-9535-516ddd02a1b8,D04015
0a316867-7407-41a4-aaea-a9903a422dcc,D18438
591eda8c-df28-4774-8544-08e2d62246b8,C17S3S
f3a6da00-b62a-45a9-8b4c-03e3904a3200,D15281
c867fc1d-5676-4568-ab10-1e35ab3e3230,84KV76
e278370c-6f7c-41c9-a722-4ab85c14d6a4,35W8SW
