TRIP_ID,VEHICLE_ID,VEHICLE_TYPE
47ba3219-f65a-4030-b09a-c037bb64b3e2,lflf,bicycle
27695629-d7b5-48c9-9210-1c1f690bcb55,93bb,bicycle
94bb793d-06c3-4e58-b814-0109baab6628,lsc9,bicycle
6f98ec71-0cd4-4394-b87a-9830fa16960c,93bb,bicycle
c0e9e96c-0727-48ac-a42e-a7c810b5cb37,97dl,bicycle
4dda259f-c7fe-4cde-8c6d-2a69bb3ea861,5gm9,bicycle
078b46a1-15b2-40c1-8c93-8b58d4866c23,e2pb,bicycle
08d1c2a7-64cb-43e0-a1ee-ef0d8abff81d,56ej,bicycle
84186a32-7614-4765-b770-4fcba7a1fc04,ruys,bicycle
844628ba-0acc-439a-ba84-e64c0f136024,e2pb,bicycle
9321967c-9be3-477e-ab30-267f71718280,ruys,bicycle
be69f2a1-cfca-4bf8-97f1-b510a002ef75,cmqs,bicycle
8a76b3e4-3105-4491-b67b-a3722d744a3d,93bb,bicycle
d31549db-25cb-411f-8bfc-4a55ae4b7e9c,sm4q,bicycle
70bba159-77da-45a5-a87e-086244909807,e2pb,bicycle
3f76875c-e06b-4c2a-8898-9517148df623,jypd,bicycle
eba3d80c-8638-4b01-bb11-fc3119c13d91,puna,bicycle
21f2c1bd-8b61-49a6-9eb9-d3fa563820cc,jypd,bicycle
a078f73c-6fce-46f3-9b80-3661dc5597ba,sm4q,bicycle
a88b68a4-1570-4414-ac5b-09636f974a90,5gm9,bicycle
f554e406-141b-4eef-b44d-3aac7b7e0909,ruys,bicycle
cfd32aec-5951-4d71-8ddd-555d58509620,93bb,bicycle
59b1377a-3094-4ec5-baf3-c6f325c28fbb,lflf,bicycle
beea93ae-e352-46ef-b5dd-25cbf7b85d95,e2pb,bicycle
6edebd33-4620-40ce-95b2-065f4775dc46,dz3e,bicycle
dc374f72-48cc-4baa-bde6-cfe3d92761f2,56ej,bicycle
52b7ae5a-19ef-417c-9ffa-f9829999a086,elym,bicycle
541d41c6-96c5-4d57-854a-ef611f39534d,sm4q,bicycle
a3dbc83d-cb93-425c-8fac-2a980d92d874,5gm9,bicycle
b0e410e9-fe1c-41fa-822b-f109076e48c4,93bb,bicycle
bf79c585-f572-4dcc-83bb-c1e54acc1363,cmqs,bicycle
b69354f1-f12a-416a-bd29-ac64751e557d,cmqs,bicycle
6e13b837-451e-4e30-8fed-5f5dc0c30aa0,sm4q,bicycle
c08b9ea7-3f41-42e2-b572-009d32d8db8c,5gm9,bicycle
e502f3a8-5c36-4608-b346-cdf12f645fe2,56ej,bicycle
6727e4ce-c830-422c-9ecc-31e1ad0faa40,sm4q,bicycle
a298fd38-1d4f-4cb5-9837-1f3f28e46455,97dl,bicycle
47bfc408-1501-4267-a960-32830c04b521,sm4q,bicycle
83d8bc0c-1e05-443c-a737-bc529548dc52,5gm9,bicycle
d5964043-330b-4ca0-bd86-7f65ebbeb72e,sm4q,bicycle
61246676-ceb4-435a-8806-6f8ea682e582,cmqs,bicycle
5477d328-1450-40eb-9234-a9b1d397bd7f,sm4q,bicycle
ef4ec8a2-f162-4b95-8c59-8fc3d8a324be,js85,bicycle
c193189c-7154-485e-947b-ab2b6fb9d3e0,5gm9,bicycle
eab0afa3-cb70-41ec-bc23-d9804326d0df,jypd,bicycle
3bb7a1d6-e6f9-45f8-a24a-0021367fc56b,ruys,bicycle
651ebe21-a02f-45cb-aea0-e55ba8415bcd,56ej,bicycle
c317ca7e-4884-4496-b282-38e7ad7c944e,cmqs,bicycle
0808d023-dff0-4bc9-b94a-4693b8124005,56ej,bicycle
1ff871df-1405-4bc6-91d9-edcaea4c045d,56ej,bicycle
0de92e4a-9ddb-40ac-a68b-b82063e99438,jypd,bicycle
4c65a2d1-1d93-4283-a153-6be940eef28b,lsc9,bicycle
7f1ee424-daf0-4811-943b-4256f54a0699,5gm9,bicycle
1fb22b77-12f8-4820-a1fc-271b98b5b44b,56ej,bicycle
2a401332-8128-41cc-9431-32a8657eb423,93bb,bicycle
4e283d63-bb52-48f0-a5d2-7ccd73feaac3,e2pb,bicycle
41ebcb6d-9cbe-40b6-83e7-ccb48b463605,ruys,bicycle
7cfb8fac-5338-4e36-b213-c071cb5df389,93bb,bicycle
e513140b-dcfc-496b-8b6b-befe4353e979,97dl,bicycle
3dceb57c-8c0b-4af9-bc72-2a859353282c,93bb,bicycle
e97c3c58-24dd-40a8-af5e-8d588d59ccf1,e2pb,bicycle
72c85e8a-584b-42ad-a9c2-98fac7c4bae5,lflf,bicycle
d9869dea-17c2-4a7f-a94b-c3034a0ce54f,cmqs,bicycle
15a2c3f0-fd71-44c5-8748-95ad74fa2c38,lflf,bicycle
03521e36-7d47-4f44-a9e9-ca68c5b14283,5gm9,bicycle
c200545e-50c4-4add-a033-aecdba4975f6,ruys,bicycle
7c9b1d75-89ea-453d-95e9-8b3ab6b87c68,jypd,bicycle
7def0c36-b807-4a2a-ab9c-28c703e332fc,lflf,bicycle
ffcd0162-e43d-4c94-a17f-4146fccdb8e2,pupl,bicycle
e5e4cd96-650b-4a79-b2b2-28d9a60490c5,e2pb,bicycle
b85d33de-afcf-4231-b49c-1a601a8e322e,jypd,bicycle
db812877-96ee-420a-8091-a70efa0dfd3f,5gm9,bicycle
9c8360d0-a871-44e1-93ac-daff34628c38,ruys,bicycle
506c0163-3ebf-4971-9851-d60cc0bfe6f0,cmd8,bicycle
8664446f-fae9-4786-a57f-8955813f0af5,cmqs,bicycle
7a9b0df0-778c-468f-8666-80404dc905bf,ruys,bicycle
